institute,field,why,expectations,level,advice,rating_value
BGU,כלכלה ומנהל עסקים,מקצוע מעניין שאפשרויות תעסוקה בו רחבות,"כפי שציפיתי שיהיה, מקצועות ראליים יותר בכלכלה ואומנים יותר בניהול",רמת הלימודים מאוד גבוהה,לחסוך כסף לפני תחילת הלימודים!,10
BGU,כלכלה ומנהל עסקים,התחלתי במגמת חשבונאות ועברתי למנהל עסקים,הקורסים מקיפים ומעמיקים. יש אפשרויות מבחר נרחבות בקורסי העשרה בכלכלה ובמנהל עסקים.,המחלקה משתדלת לבחור אך ורק מתרגלים איכותיים שלא רק יודעים את החומר אלא גם יודעים להעביר אותו לא פחות טוב ממרצה,לבוא עם מצב רוח ולקרוא מוספים כלכליים,9
BGU,כלכלה ומנהל עסקים,מעניין,"ענה על הציפיות,לא היו גבוהות",תרגולים עמוסים מידי אצל המתרגלים הטובים,למצוא עבודה במשך התואר שלא תפגע בלימודים ועם זאת תוכלו לממן את הבילויים והחיים,8
BGU,כלכלה ומנהל עסקים,מקצוע מעניין עם אפשרויות להתפתח למגוון רחב של נושאים,"רמת הלימודים סבירה, לא אהבתי שאפשר לקבל את אותו התואר דרך מכללה (אחווה)",צריך לדעת להתפשר בין המתרגל הטוב ביותר לכיתה העמוסה פחות,"תקראו טוב טוב את השנתון, אי ידיעת החוק אינה פותרת מעונש!!",7
BGU,כלכלה ומנהל עסקים,"התלבטתי בין כמה תחומים, בסוף בחרתי בזה ורציתי ללמוד בבן גוריון בגלל ההווי.","כן, מבחינת הסביבה והלימודים",מעולה,"בן גוריון הוא מוסד חברתי הרבה מעבר ללימודי, ממליץ בחום!",10
BGU,כלכלה ומנהל עסקים,"אני מתעניינת בתחום, נהנית לעקוב אחריו גם בתקשורת",מכיון שנכנסתי למסלול המבוקש רק בשנה השנייה אני בהחלט ידעתי למה לצפות ולא הופתעתי מהלימודים. נהנית מקורסים,"חלק מהמתרגלים טובים ועוזרים, חלקם פחות.. ניתן לראות זאת לפי הנוכחות בכיתה. היענות גבוהה יחסית במיילים.","תלכו לתחום רק אם זה באמת מעניין אתכם מכייון שקיימים קורסים לא קלים במיוחד בשנה
הראשונה. וגם אם התחלתם ללמוד ולא נראה לכם, אל תפחדו להתחיל מחדש במחלקה אחרת.",8
BGU,כלכלה ומנהל עסקים,רציתי שילוב של נושאים מעניינים ואלו היו הכי קרובים לליבי,אף מקום לא מושלם,"בפילוסופיה הרמה גבוהה ועניינית, הלימודים מאוד תורמים להתפתחותי האישית אולם בכלכלה אני סבור שאסיים את התואר מבלי לדעת כיצד לקרוא גלובס או דה מרקר מכיוון שהרמה אינה גבוה",אם אתה בן אדם סקרן שמתעניין בתחום מסוים אז תלמד אותו אפילו אם הוא לא שימושי לאחר הלימודים. כלכלה הוא תחום מאוד אפור שרוב האנשים שלומדים אותו הם צרי אופקים ומתוך חוסר עניין הלכו ללמוד את מה שהם הכי פחות לא רצו ללמוד. לכן אם מחשבת ישראל או היסטוריה או חוגים כאלו מעניינים אותך אז תעשה אותם כי הם יתרמו לך בתור בן אדם הרבה יותר מלימודי כלכלה ולשנייה לא תתחרט על ההחלטה הזאת.,5
BGU,כלכלה ומנהל עסקים,מה שהכי ענין אותי,הרמה נמוכה גם של המרצים וגם של הסטודנטים,מתרגלים טובים אך כמות סטודנטים גבוהה מידי,לא היכן שאני למדתי (בן גוריון),5
BGU,כלכלה ומנהל עסקים,רציתי לימודים שיועילו לי לעתיד וגם יעניינו אותי,התחלתי ממסלול אחר (חשבונאות) שלא ענה על ציפיותיי אז שיניתי מסלול,לא היו מזיקים עוד שיעורי עזר,אם מחפשים מקום עם אווירה סטודנטיאלית טובה- זה המקום,6
BGU,כלכלה ומנהל עסקים,היות ושני הנושאים מעניינים אותי במיוחד,מרגיש שקיבלתי מה שרציתי אולם אני מופתע מעט מרמת הקושי של המבחנים בכלכלה ומידת הסינון שמופעל בשנה א',הרגשתי שיש מידה מספקת של הפרמטרים שצויינו,בשביל לעמוד בדרישות הגבוהות של המבחנים בכלכלה צריך להשקיע הרבה בתרגילים במהלך הסמסטר ולודא הבנה של כל החומר כל שבוע עם המתרגלים,7
BGU,כלכלה ומנהל עסקים,אני אוהב את התחום והוא מעניין אותי,"רציתי ללמוד כלכלה ואני רק בשנה ראשונה אך כבר מרגיש הבנה מסויימת של השווקים בארץ ובכלל.
רוב המרצים ברמה גבוהה ומיבחני המעבר בכלכלה דיי קשים אך תורמים להבנה מקסימלית של החומר הנילמד","הייכן שהמרצים טובים יותר לעיתים יש כמות גדולה יותר של סטודנטים אך הרצון ללמוד גדול ויש שקט בכיתה, בסופו של כל קורס ניבחנים ברמה גבוהה עד גבוהה מאוד",ללמוד את זה רק אם זה באמת מעניין ולבוא עם ראש פתוח,9
BGU,כלכלה ומנהל עסקים,"מתעניינת בתחום הכלכלה ההתנהגותית, חושבת שזה בסיס טוב לעבודה עם אנשים בתפקידים ניהוליים",פסיכולוגיה זה ממש לא מה שחשבתי שזה.,הרבה סטודנטים בהרצאה. מתרגלים יש ויש.,לחשוב טוב אם מוכנים לעשות את השילוב כי הוא מאתגר ולא פשוט.,7
BGU,כלכלה ומנהל עסקים,בחרתי בשני חוגים שייצרו בי עניין ויוכלו לפתוח לי מגוון רחב של מקצועות הוראה לאחר מכן.,"הלימודים במחלקה לממשל מאוד מעניינים ומרחיבים את צורת החשיבה וההתבוננות על הנעשה במדינה ובעולם. כלכלה בשנה הראשונה הוא תחום די משעמם, כי לומדים את כל מושגי היסוד. אני מניח שזה יישתפר עם הזמן.",צריך לווסת טוב יותר את כמות הסטודנטים בתרגולים,"לעשות שאלות נוספות בכלכלה, לא לקנות את הספרים לפוליטיקה וממשל- לחפש ממישהו משנה ב'.",7
BGU,כלכלה ומנהל עסקים,"כי לא ידעתי מה אני רוצה ללמוד, ותמיד הלך לי טוב עם מספרים אז החלטתי ללכת על כלכלה, בנוסף לכך ניתן לעשות הרבה כבר עם התואר הראשון (לעומת תארים אחרים שצריך לעשות תואר שני כדי שיהיה אפשר לעשות משהו עם התואר)","אולם אני רק בשנה הראשונה, אך עדיין כל מה שלמדנו לא כ""כ מתקשר למציאות","רוב המתרגלים מתמצאים בחומר, את רוב החומר מבינים אחרי התירגול, המתרגל מסביר יותר על כל נושא, לרוב מסכם, ונכנס לפינות שהמרצים לא נכנסים","1.להתייעץ עם כמה שיותר סטודנטים, ולראות אם זה באמת מתאים לכם
2.יש הרבה התעסקות עם מתמטיקה, סטטיסטיקה-אז לבדוק אם זה התחום שאתם טובים בו",9
BGU,כלכלה ומנהל עסקים,ז ה המסלול היחידי שעניין אותי,קורסים מעניינים ומרתקים,"גבוהה מאוד, יותר מכל אוניברסיטה\מכללה בארץ","לבוא חדור מטובציה זה תואר סזיפי נורא, קצת פחות מהנדסה אבל הרבה יותר מכל שאר התארים.
אם תשקיע תצליח!!",10
BGU,כלכלה ומנהל עסקים,הכי עניין ודיבר אלי,כי יש כמה תחומים שהוא לא מרחיב בתחום מנהל העסקים,המתרגלים ברמה גבוהה ושיעורי העזר טובים.,לבוא לכמה ימים להרגיש את הקמפוס והאווירה בו.,9
BGU,כלכלה ומנהל עסקים,גם כלכלה וגם מתמטיקה (הדו חוגי השני שלי) עניינו אותי,היה מעניין ומאתגר בסך הכל,רמה טובה.,"לחשוב טוב, כי מתמטיקה זה הרבה יותר קשה מאשר בתיכון.
כלכלה - ללמוד רק אם מעניין",8
BGU,כלכלה ומנהל עסקים,"התייחסתי לתואר ראשון ככלי לעתיד, ושילוב שני התחומים (פסיכולוגיה וכלכלה) היה נראה לי כאחד שיכול לפתוח דלתות מגוונות בעתיד.","לא ידעתי בדיוק למה לצפות, לכן גם לא היו יותר מדי ציפיות לענות עליהן. קשה יותר ממה שציפיתי. בנוסף, שנה ראשונה לומדים מבואות, אז עוד לא ניתן לשפוט בצורה אובייקטיבית.","כנ""ל",מסלול לא קל. שילוב לא קונבנציונאלי שמעטים עושים. לקחת בחשבון שאין טעם ברדיפה אחר ממוצע ציונים אם בוחרים בשילוב זה.,7
